time,label,state,wp_or_human_idx,goal_x,goal_y,amcl_x,amcl_y,amcl_yaw
1.76541e+09,PHASE1_GOAL_SENT,Waiting for Map and Pose,0,0,-1,2.16448,-21.6808,0.00737415
1.76541e+09,PHASE1_GOAL_REACHED,Going to 1st Human,0,0,0,0.113992,-0.989203,-0.4434
1.76541e+09,PHASE1_GOAL_SENT,Checking 1st Human,1,-13,15,0.0804103,-0.97586,-0.242974
1.76541e+09,PHASE1_GOAL_REACHED,Going to 2nd Human,1,0,0,-12.9254,15.0719,-0.384662
1.76541e+09,SEARCH_WP_GOAL_SENT,Waiting for Costmap,0,-13,8,-12.9254,15.0719,-0.384662
1.76541e+09,SEARCH_WP_GOAL_REACHED,Search Going to Waypoint,0,0,0,-12.9327,7.96003,-0.306358
1.76541e+09,SEARCH_SPIN_START,Search Spinning at Waypoint,0,0,0,-12.9327,7.96003,-0.306358
1.76541e+09,SEARCH_SPIN_DONE,Search Spinning at Waypoint,0,0,0,-12.9024,7.85023,-0.620481
1.76541e+09,SEARCH_WP_GOAL_SENT,Search Spinning at Waypoint,1,-13,22,-12.9024,7.85023,-0.620481
1.76541e+09,SEARCH_WP_GOAL_REACHED,Search Going to Waypoint,1,0,0,-12.975,22.0555,0.41794
1.76541e+09,SEARCH_SPIN_START,Search Spinning at Waypoint,1,0,0,-12.975,22.0555,0.41794
1.76541e+09,SEARCH_SPIN_DONE,Search Spinning at Waypoint,1,0,0,-12.9727,22.4049,-0.257703
1.76541e+09,SEARCH_WP_GOAL_SENT,Search Spinning at Waypoint,2,-7,20,-12.9727,22.4049,-0.257703
1.76541e+09,SEARCH_WP_GOAL_REACHED,Search Going to Waypoint,2,0,0,-6.97311,20.1753,-0.424841
1.76541e+09,SEARCH_SPIN_START,Search Spinning at Waypoint,2,0,0,-6.97311,20.1753,-0.424841
1.76541e+09,SEARCH_SPIN_DONE,Search Spinning at Waypoint,2,0,0,-6.71358,20.1795,-0.604113
1.76541e+09,SEARCH_WP_GOAL_SENT,Search Spinning at Waypoint,3,3,22,-6.71358,20.1795,-0.604113
